"",x,y,ph
336,-2.5,2.5,20
337,-2.5,2.5,11
338,-2.5,2.5,23
339,-2.5,2.5,19
340,-2.5,2.5,19
341,-2.5,2.5,20
342,-2.5,2.5,24
343,-2.5,2.5,23
344,-2.5,2.5,26
345,-2.5,2.5,21
346,-2.5,2.5,19
347,-2.5,2.5,28
348,-2.5,2.5,28
349,-2.5,2.5,26
350,-2.5,2.5,18
351,-2.5,2.5,19
352,-2.5,2.5,22
353,-2.5,2.5,21
354,-2.5,2.5,26
355,-2.5,2.5,24
356,-2.5,2.5,22
357,-2.5,2.5,20
358,-2.5,2.5,21
359,-2.5,2.5,21
360,-2.5,2.5,37
361,-2.5,2.5,20
362,-2.5,2.5,23
363,-2.5,2.5,25
364,-2.5,2.5,17
365,-2.5,2.5,31
366,-2.5,2.5,23
367,-2.5,2.5,20
368,-2.5,2.5,22
369,-2.5,2.5,16
370,-2.5,2.5,25
371,-2.5,2.5,24
372,-2.5,2.5,22
373,-2.5,2.5,18
374,-2.5,2.5,21
375,-2.5,2.5,37
376,-2.5,2.5,19
377,-2.5,2.5,30
378,-2.5,2.5,16
379,-2.5,2.5,23
380,-2.5,2.5,38
381,-2.5,2.5,19
382,-2.5,2.5,19
383,-2.5,2.5,14
384,-2.5,2.5,24
385,-2.5,2.5,29
386,-2.5,2.5,22
387,-2.5,2.5,22
388,-2.5,2.5,29
389,-2.5,2.5,26
390,-2.5,2.5,18
391,-2.5,2.5,27
392,-2.5,2.5,28
393,-2.5,2.5,18
394,-2.5,2.5,18
395,-2.5,2.5,21
396,-2.5,2.5,17
397,-2.5,2.5,25
398,-2.5,2.5,18
399,-2.5,2.5,18
400,-2.5,2.5,24
401,-2.5,2.5,15
402,-2.5,2.5,14
403,-2.5,2.5,25
404,-2.5,2.5,21
405,-2.5,2.5,18
406,-2.5,2.5,13
407,-2.5,2.5,20
408,-2.5,2.5,14
409,-2.5,2.5,19
410,-2.5,2.5,24
411,-2.5,2.5,19
412,-2.5,2.5,12
413,-2.5,2.5,24
414,-2.5,2.5,24
415,-2.5,2.5,20
416,-2.5,2.5,21
417,-2.5,2.5,24
418,-2.5,2.5,28
419,-2.5,2.5,21
420,-2.5,2.5,20
421,-2.5,2.5,29
422,-2.5,2.5,26
423,-2.5,2.5,17
424,-2.5,2.5,32
425,-2.5,2.5,27
426,-2.5,2.5,29
427,-2.5,2.5,16
428,-2.5,2.5,15
429,-2.5,2.5,22
430,-2.5,2.5,16
431,-2.5,2.5,19
432,-2.5,2.5,24
433,-2.5,2.5,28
434,-2.5,2.5,17
435,-2.5,2.5,24
436,-2.5,2.5,20
437,-2.5,2.5,23
438,-2.5,2.5,13
439,-2.5,2.5,23
440,-2.5,2.5,20
441,-2.5,2.5,26
442,-2.5,2.5,19
443,-2.5,2.5,24
444,-2.5,2.5,21
445,-2.5,2.5,13
446,-2.5,2.5,17
447,-2.5,2.5,30
448,-2.5,2.5,25
449,-2.5,2.5,20
450,-2.5,2.5,18
451,-2.5,2.5,15
452,-2.5,2.5,23
453,-2.5,2.5,18
454,-2.5,2.5,25
455,-2.5,2.5,40
456,-2.5,2.5,22
457,-2.5,2.5,21
458,-2.5,2.5,32
459,-2.5,2.5,25
460,-2.5,2.5,27
461,-2.5,2.5,28
462,-2.5,2.5,18
463,-2.5,2.5,9
464,-2.5,2.5,37
465,-2.5,2.5,22
466,-2.5,2.5,20
467,-2.5,2.5,17
468,-2.5,2.5,19
469,-2.5,2.5,19
470,-2.5,2.5,24
471,-2.5,2.5,22
472,-2.5,2.5,20
473,-2.5,2.5,23
474,-2.5,2.5,22
475,-2.5,2.5,26
476,-2.5,2.5,18
477,-2.5,2.5,19
478,-2.5,2.5,21
479,-2.5,2.5,20
480,-2.5,2.5,14
481,-2.5,2.5,18
482,-2.5,2.5,29
483,-2.5,2.5,10
484,-2.5,2.5,27
485,-2.5,2.5,29
486,-2.5,2.5,23
487,-2.5,2.5,17
488,-2.5,2.5,23
489,-2.5,2.5,27
490,-2.5,2.5,26
491,-2.5,2.5,22
492,-2.5,2.5,12
493,-2.5,2.5,15
494,-2.5,2.5,38
495,-2.5,2.5,20
496,-2.5,2.5,20
497,-2.5,2.5,24
498,-2.5,2.5,23
499,-2.5,2.5,20
500,-2.5,2.5,23
501,-2.5,2.5,30
502,-2.5,2.5,23
503,-1.5,2.5,38
504,-1.5,2.5,36
505,-1.5,2.5,34
506,-1.5,2.5,51
507,-1.5,2.5,38
508,-1.5,2.5,43
509,-1.5,2.5,27
510,-1.5,2.5,38
511,-1.5,2.5,40
512,-1.5,2.5,34
513,-1.5,2.5,31
514,-1.5,2.5,28
515,-1.5,2.5,34
516,-1.5,2.5,36
517,-1.5,2.5,35
518,-1.5,2.5,41
519,-1.5,2.5,34
520,-1.5,2.5,40
521,-1.5,2.5,37
522,-1.5,2.5,38
523,-1.5,2.5,40
524,-1.5,2.5,33
525,-1.5,2.5,33
526,-1.5,2.5,56
527,-1.5,2.5,35
528,-1.5,2.5,35
529,-1.5,2.5,29
530,-1.5,2.5,42
531,-1.5,2.5,34
532,-1.5,2.5,37
533,-1.5,2.5,37
534,-1.5,2.5,42
535,-1.5,2.5,47
536,-1.5,2.5,39
537,-1.5,2.5,30
538,-1.5,2.5,36
539,-1.5,2.5,48
540,-1.5,2.5,31
541,-1.5,2.5,32
542,-1.5,2.5,38
543,-1.5,2.5,30
544,-1.5,2.5,39
545,-1.5,2.5,42
546,-1.5,2.5,41
547,-1.5,2.5,34
548,-1.5,2.5,33
549,-1.5,2.5,41
550,-1.5,2.5,34
551,-1.5,2.5,42
552,-1.5,2.5,44
553,-1.5,2.5,41
554,-1.5,2.5,30
555,-1.5,2.5,37
556,-1.5,2.5,36
557,-1.5,2.5,33
558,-1.5,2.5,48
559,-1.5,2.5,35
560,-1.5,2.5,33
561,-1.5,2.5,35
562,-1.5,2.5,30
563,-1.5,2.5,35
564,-1.5,2.5,36
565,-1.5,2.5,37
566,-1.5,2.5,36
567,-1.5,2.5,35
568,-1.5,2.5,48
569,-1.5,2.5,32
570,-1.5,2.5,41
571,-1.5,2.5,20
572,-1.5,2.5,46
573,-1.5,2.5,33
574,-1.5,2.5,39
575,-1.5,2.5,36
576,-1.5,2.5,37
577,-1.5,2.5,28
578,-1.5,2.5,37
579,-1.5,2.5,43
580,-1.5,2.5,26
581,-1.5,2.5,36
582,-1.5,2.5,37
583,-1.5,2.5,44
584,-1.5,2.5,31
585,-1.5,2.5,34
586,-1.5,2.5,43
587,-1.5,2.5,24
588,-1.5,2.5,37
589,-1.5,2.5,34
590,-1.5,2.5,37
591,-1.5,2.5,37
592,-1.5,2.5,31
593,-1.5,2.5,30
594,-1.5,2.5,33
595,-1.5,2.5,38
596,-1.5,2.5,36
597,-1.5,2.5,30
598,-1.5,2.5,30
599,-1.5,2.5,37
600,-1.5,2.5,33
601,-1.5,2.5,42
602,-1.5,2.5,31
603,-1.5,2.5,32
604,-1.5,2.5,37
605,-1.5,2.5,31
606,-1.5,2.5,39
607,-1.5,2.5,40
608,-1.5,2.5,40
609,-1.5,2.5,32
610,-1.5,2.5,38
611,-1.5,2.5,36
612,-1.5,2.5,31
613,-1.5,2.5,44
614,-1.5,2.5,35
615,-1.5,2.5,39
616,-1.5,2.5,43
617,-1.5,2.5,33
618,-1.5,2.5,40
619,-1.5,2.5,34
620,-1.5,2.5,32
621,-1.5,2.5,27
622,-1.5,2.5,31
623,-1.5,2.5,43
624,-1.5,2.5,31
625,-1.5,2.5,23
626,-1.5,2.5,35
627,-1.5,2.5,44
628,-1.5,2.5,38
629,-1.5,2.5,31
630,-1.5,2.5,33
631,-1.5,2.5,38
632,-1.5,2.5,41
633,-1.5,2.5,35
634,-1.5,2.5,23
635,-1.5,2.5,22
636,-1.5,2.5,29
637,-1.5,2.5,41
638,-1.5,2.5,32
639,-1.5,2.5,32
640,-1.5,2.5,35
641,-1.5,2.5,32
642,-1.5,2.5,40
643,-1.5,2.5,37
644,-1.5,2.5,22
645,-1.5,2.5,34
646,-1.5,2.5,37
647,-1.5,2.5,31
648,-1.5,2.5,37
649,-1.5,2.5,34
650,-1.5,2.5,59
651,-1.5,2.5,37
652,-1.5,2.5,32
653,-1.5,2.5,36
654,-1.5,2.5,34
655,-1.5,2.5,29
656,-1.5,2.5,43
657,-1.5,2.5,39
658,-1.5,2.5,27
659,-1.5,2.5,41
660,-1.5,2.5,34
661,-1.5,2.5,34
662,-1.5,2.5,32
663,-1.5,2.5,40
664,-1.5,2.5,32
665,-1.5,2.5,27
666,-1.5,2.5,36
667,-1.5,2.5,37
668,-1.5,2.5,40
669,-1.5,2.5,29
670,-1.5,2.5,33
671,-1.5,2.5,27
672,-1.5,2.5,27
673,-1.5,2.5,41
674,-1.5,2.5,39
675,-1.5,2.5,29
676,-1.5,2.5,30
677,-1.5,2.5,31
678,-1.5,2.5,39
679,-1.5,2.5,39
680,-1.5,2.5,34
681,-1.5,2.5,16
682,-1.5,2.5,47
683,-1.5,2.5,33
684,-1.5,2.5,34
685,-1.5,2.5,32
686,-1.5,2.5,26
687,-1.5,2.5,38
688,-1.5,2.5,36
689,-1.5,2.5,41
690,-1.5,2.5,31
691,-1.5,2.5,26
692,-1.5,2.5,37
693,-1.5,2.5,36
694,-1.5,2.5,33
695,-1.5,2.5,32
696,-1.5,2.5,31
697,-1.5,2.5,41
698,-1.5,2.5,27
699,-1.5,2.5,39
700,-1.5,2.5,32
701,-1.5,2.5,28
702,-1.5,2.5,30
703,-1.5,2.5,31
704,-1.5,2.5,30
705,-1.5,2.5,45
706,-1.5,2.5,31
707,-1.5,2.5,50
708,-1.5,2.5,40
709,-1.5,2.5,32
710,-1.5,2.5,34
711,-1.5,2.5,47
712,-1.5,2.5,28
713,-1.5,2.5,35
714,-1.5,2.5,41
715,-1.5,2.5,24
716,-1.5,2.5,38
717,-1.5,2.5,36
718,-1.5,2.5,43
719,-1.5,2.5,34
720,-1.5,2.5,37
721,-1.5,2.5,32
722,-1.5,2.5,36
723,-1.5,2.5,41
724,-1.5,2.5,32
725,-1.5,2.5,45
726,-1.5,2.5,42
727,-1.5,2.5,30
728,-1.5,2.5,39
729,-1.5,2.5,37
730,-1.5,2.5,34
731,-1.5,2.5,37
732,-1.5,2.5,35
733,-1.5,2.5,38
734,-1.5,2.5,29
735,-1.5,2.5,30
736,-1.5,2.5,39
737,-1.5,2.5,37
738,-1.5,2.5,32
739,-1.5,2.5,34
740,-1.5,2.5,28
741,-1.5,2.5,30
742,-1.5,2.5,34
743,-1.5,2.5,30
744,-1.5,2.5,39
745,-1.5,2.5,35
746,-1.5,2.5,34
747,-1.5,2.5,36
748,-1.5,2.5,35
749,-1.5,2.5,35
750,-1.5,2.5,27
751,-1.5,2.5,31
752,-1.5,2.5,39
753,-1.5,2.5,31
754,-1.5,2.5,27
755,-1.5,2.5,29
756,-1.5,2.5,34
757,-1.5,2.5,32
758,-1.5,2.5,31
759,-1.5,2.5,38
760,-1.5,2.5,21
761,-1.5,2.5,24
762,-1.5,2.5,32
763,-1.5,2.5,30
764,-1.5,2.5,37
765,-1.5,2.5,39
766,-1.5,2.5,28
767,-1.5,2.5,29
768,-1.5,2.5,30
769,-1.5,2.5,42
770,-1.5,2.5,32
771,-1.5,2.5,43
772,-1.5,2.5,27
773,-1.5,2.5,35
774,-1.5,2.5,39
775,-1.5,2.5,28
776,-1.5,2.5,31
777,-1.5,2.5,28
778,-1.5,2.5,38
779,-1.5,2.5,36
780,-1.5,2.5,32
781,-1.5,2.5,29
782,-1.5,2.5,30
783,-1.5,2.5,27
784,-1.5,2.5,28
785,-1.5,2.5,38
786,-1.5,2.5,35
787,-1.5,2.5,32
788,-1.5,2.5,33
789,-1.5,2.5,27
790,-1.5,2.5,29
791,-1.5,2.5,32
792,-1.5,2.5,36
793,-1.5,2.5,39
794,-1.5,2.5,37
795,-1.5,2.5,33
796,-1.5,2.5,41
797,-1.5,2.5,40
798,-1.5,2.5,45
799,-1.5,2.5,35
800,-1.5,2.5,36
801,-1.5,2.5,37
802,-1.5,2.5,28
803,-1.5,2.5,47
804,-1.5,2.5,32
805,-1.5,2.5,37
806,-1.5,2.5,35
807,-1.5,2.5,45
808,-1.5,2.5,29
809,-1.5,2.5,32
810,-1.5,2.5,41
811,-1.5,2.5,24
812,-1.5,2.5,33
813,-1.5,2.5,38
814,-1.5,2.5,32
815,-1.5,2.5,47
816,-1.5,2.5,32
817,-1.5,2.5,33
818,-1.5,2.5,31
819,-1.5,2.5,31
820,-1.5,2.5,41
821,-1.5,2.5,36
822,-1.5,2.5,29
823,-1.5,2.5,31
824,-1.5,2.5,30
825,-1.5,2.5,21
826,-1.5,2.5,31
827,-1.5,2.5,42
828,-1.5,2.5,33
829,-1.5,2.5,40
830,-1.5,2.5,34
831,-1.5,2.5,27
832,-1.5,2.5,27
833,-1.5,2.5,34
834,-1.5,2.5,40
835,-1.5,2.5,27
836,-1.5,2.5,40
837,-1.5,2.5,37
838,-1.5,2.5,36
839,-1.5,2.5,26
840,-1.5,2.5,30
841,-1.5,2.5,20
842,-1.5,2.5,30
843,-1.5,2.5,37
844,-1.5,2.5,42
845,-1.5,2.5,40
846,-1.5,2.5,35
847,-1.5,2.5,40
848,-1.5,2.5,40
849,-1.5,2.5,36
850,-1.5,2.5,40
851,-1.5,2.5,40
852,-1.5,2.5,38
853,-1.5,2.5,34
854,-1.5,2.5,48
855,-1.5,2.5,35
856,-1.5,2.5,56
857,-1.5,2.5,36
858,-1.5,2.5,37
859,-1.5,2.5,35
860,-1.5,2.5,27
861,-1.5,2.5,40
862,-1.5,2.5,26
863,-1.5,2.5,43
864,-1.5,2.5,34
865,-1.5,2.5,36
866,-1.5,2.5,37
867,-1.5,2.5,39
868,-1.5,2.5,34
869,-1.5,2.5,35
870,-1.5,2.5,31
871,-1.5,2.5,25
872,-1.5,2.5,41
873,-1.5,2.5,40
874,-1.5,2.5,27
875,-1.5,2.5,38
876,-1.5,2.5,49
877,-1.5,2.5,40
878,-1.5,2.5,34
879,-1.5,2.5,30
880,-1.5,2.5,29
881,-1.5,2.5,42
882,-1.5,2.5,43
883,-1.5,2.5,32
884,-1.5,2.5,36
885,-1.5,2.5,32
886,-1.5,2.5,34
887,-1.5,2.5,49
888,-1.5,2.5,24
889,-1.5,2.5,36
890,-1.5,2.5,40
891,-1.5,2.5,37
892,-1.5,2.5,40
893,-1.5,2.5,30
894,-1.5,2.5,32
895,-1.5,2.5,28
896,-1.5,2.5,33
897,-1.5,2.5,34
898,-1.5,2.5,30
899,-1.5,2.5,35
900,-1.5,2.5,40
901,-1.5,2.5,32
902,-1.5,2.5,42
903,-1.5,2.5,32
904,-1.5,2.5,30
905,-1.5,2.5,27
906,-1.5,2.5,32
907,-1.5,2.5,25
908,-1.5,2.5,28
909,-1.5,2.5,29
910,-1.5,2.5,35
911,-1.5,2.5,34
912,-1.5,2.5,34
913,-1.5,2.5,24
914,-1.5,2.5,33
915,-1.5,2.5,31
916,-1.5,2.5,34
917,-1.5,2.5,28
918,-1.5,2.5,30
919,-1.5,2.5,28
920,-1.5,2.5,30
921,-1.5,2.5,34
922,-1.5,2.5,36
923,-1.5,2.5,39
924,-1.5,2.5,27
925,-1.5,2.5,30
926,-1.5,2.5,33
927,-1.5,2.5,32
928,-1.5,2.5,37
929,-1.5,2.5,28
930,-1.5,2.5,35
931,-1.5,2.5,33
932,-1.5,2.5,33
933,-1.5,2.5,29
934,-1.5,2.5,28
935,-1.5,2.5,38
936,-1.5,2.5,39
937,-1.5,2.5,21
938,-1.5,2.5,30
939,-1.5,2.5,30
940,-1.5,2.5,33
941,-1.5,2.5,43
942,-1.5,2.5,27
943,-1.5,2.5,28
944,-1.5,2.5,36
945,-1.5,2.5,37
946,-1.5,2.5,39
947,-1.5,2.5,32
948,-1.5,2.5,33
949,-1.5,2.5,27
950,-1.5,2.5,30
951,-1.5,2.5,31
952,-1.5,2.5,26
953,-1.5,2.5,32
954,-1.5,2.5,27
955,-1.5,2.5,27
956,-1.5,2.5,32
957,-1.5,2.5,33
958,-1.5,2.5,36
959,-1.5,2.5,36
960,-1.5,2.5,31
961,-1.5,2.5,36
962,-1.5,2.5,36
963,-1.5,2.5,37
964,-1.5,2.5,32
965,-1.5,2.5,38
966,-1.5,2.5,41
967,-1.5,2.5,33
968,-1.5,2.5,25
969,-1.5,2.5,30
970,-1.5,2.5,30
971,-1.5,2.5,24
972,-1.5,2.5,35
973,-1.5,2.5,26
974,-1.5,2.5,37
975,-1.5,2.5,32
976,-1.5,2.5,30
977,-1.5,2.5,30
978,-1.5,2.5,34
979,-1.5,2.5,29
980,-1.5,2.5,31
981,-1.5,2.5,30
982,-1.5,2.5,34
983,-1.5,2.5,36
984,-1.5,2.5,41
985,-1.5,2.5,33
986,-1.5,2.5,46
987,-1.5,2.5,33
988,-1.5,2.5,41
989,-1.5,2.5,29
990,-1.5,2.5,49
991,-1.5,2.5,33
992,-1.5,2.5,36
993,-1.5,2.5,31
994,-1.5,2.5,31
995,-1.5,2.5,43
996,-1.5,2.5,40
997,-1.5,2.5,33
998,-1.5,2.5,39
999,-1.5,2.5,36
1000,-1.5,2.5,43
1001,-1.5,2.5,37
1002,-1.5,2.5,37
1003,-1.5,2.5,33
1004,-1.5,2.5,37
1005,-0.5,2.5,33
1006,-0.5,2.5,45
1007,-0.5,2.5,53
1008,-0.5,2.5,37
1009,-0.5,2.5,37
1010,-0.5,2.5,26
1011,-0.5,2.5,33
1012,-0.5,2.5,33
1013,-0.5,2.5,35
1014,-0.5,2.5,44
1015,-0.5,2.5,37
1016,-0.5,2.5,30
1017,-0.5,2.5,36
1018,-0.5,2.5,38
1019,-0.5,2.5,35
1020,-0.5,2.5,56
1021,-0.5,2.5,44
1022,-0.5,2.5,46
1023,-0.5,2.5,27
1024,-0.5,2.5,36
1025,-0.5,2.5,28
1026,-0.5,2.5,51
1027,-0.5,2.5,39
1028,-0.5,2.5,34
1029,-0.5,2.5,51
1030,-0.5,2.5,49
1031,-0.5,2.5,33
1032,-0.5,2.5,34
1033,-0.5,2.5,48
1034,-0.5,2.5,46
1035,-0.5,2.5,34
1036,-0.5,2.5,28
1037,-0.5,2.5,24
1038,-0.5,2.5,35
1039,-0.5,2.5,34
1040,-0.5,2.5,26
1041,-0.5,2.5,40
1042,-0.5,2.5,30
1043,-0.5,2.5,29
1044,-0.5,2.5,32
1045,-0.5,2.5,41
1046,-0.5,2.5,18
1047,-0.5,2.5,32
1048,-0.5,2.5,36
1049,-0.5,2.5,41
1050,-0.5,2.5,29
1051,-0.5,2.5,42
1052,-0.5,2.5,37
1053,-0.5,2.5,43
1054,-0.5,2.5,30
1055,-0.5,2.5,34
1056,-0.5,2.5,31
1057,-0.5,2.5,48
1058,-0.5,2.5,25
1059,-0.5,2.5,35
1060,-0.5,2.5,35
1061,-0.5,2.5,32
1062,-0.5,2.5,49
1063,-0.5,2.5,32
1064,-0.5,2.5,38
1065,-0.5,2.5,35
1066,-0.5,2.5,36
1067,-0.5,2.5,30
1068,-0.5,2.5,23
1069,-0.5,2.5,36
